Name,age,country,category,image,marital_status,Education,net_worth,Degree,first_name,Gender
Patty Hearst,67.0,Others,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/Patty-Hearst.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Santa Catalina School for Girls, University of California, Berkeley,   Crystal Springs Uplands School",45,Post Graduate,Patty,female
Monica Bellucci,56.0,Italy,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2012/01/Monica-Bellucci1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,University of Perugia,45,Post Graduate,Monica,female
Susan Lucci,74.0,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/Susan-Lucci.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Marymount College, Garden City High School",45,Graduate,Susan,female
Blythe Danner,78.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/Danner.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Bard College,45,Graduate,Blythe,female
Uma Thurman,50.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/Uma-Thurman-by-Tom-Munro.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Northfield Mount Hermon School,45,Graduate,Uma,female
Penny Marshall,78.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2018/12/Penny-Marshall.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,University of New Mexico,45,Post Graduate,Penny,female
Ariana Grande,26.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/07/Ariana-Grande.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,"Pine Crest School, North Broward Preparatory School",45,Graduate,Ariana,female
Cate Blanchett,51.0,Australia,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2019/01/Cate-Blanchett.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of Melbourne,45,Post Graduate,Cate,female
Whoopi Goldberg,65.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/06/whoopi_goldberg_stream.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Washington Irving High School,45,high school,Whoopi,others
Meg Ryan,59.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/05/meg-ryan.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,New York University,45,Post Graduate,Meg,female
Meryl Streep,71.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/04/Meryl_Streep.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Yale School of Drama, Vassar College",45,Graduate,Meryl,female
Catherine Zeta-Jones,51.0,United kingdom,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2014/04/catherine-zeta-jones-105229_w1000.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,The Arts Educational Schools ,45,Graduate,Catherine,female
Tina Fey,50.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/04/tina-fey.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of Virginia ,45,Post Graduate,Tina,female
Renee Zellweger,50.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/04/93919091-Renee-Zellweger_0.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of Texas at Austin,45,Post Graduate,Renee,female
Marisa Tomei,56.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/03/Marisa-Tomei2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married," Boston University, Edward R. Murrow High School",43,Post Graduate,Marisa,female
Catherine Oxenberg,59.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/06/Catherine-Oxenberg1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Harvard University ,42,Post Graduate,Catherine,female
Kiera Chaplin,38.0,United kingdom,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/05/Kiera-Chaplin2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University College London,42,Graduate,Kiera,female
Patricia Heaton,63.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/Patricia-Heaton.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Ohio State University,40,Post Graduate,Patricia,female
