Name,age,country,category,image,marital_status,Education,net_worth,Degree
Richard Jefferson,40,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2019/06/Richard-Jefferson.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Teresa Lourenco),"University of Arizona, Moon Valley High School",$50 Million,Graduate
Scottie Pippen,55,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/pippen2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Larsa Pippen),University of Central Arkansas,$50 Million,Graduate
Andre Iguodala,37,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2019/01/Andre-Iguodala.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Clayanna Warthen),University of Arkansas,$50 Million,Graduate
Doug Christie,50,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2011/01/Doug-Christie.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Jackie Christie),Pepperdine University,$50 Million,Graduate
Ben Wallace,45,N/A,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2013/12/Ben_Wallace.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married to Chanda Wallace,Cuyahoga Community College and Virginia Union University,$50 Million,Graduate
Roy Hibbert,33,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2015/07/Roy-Hibbert.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Valerie Cooke),Georgetown University,$48 Million,Graduate
Jose Calderon,38,Spain,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/2015/07/José-Calderón.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Ana Hurtado),,$48 Million,
Eric Gordon,31,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2014/11/Eric-Gordon.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Single,Indiana University,$45.6 Million,Graduate
Vlade Divac,53,N/A,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/Vlade-Divac2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Anna Divac),,$45 Million,
John Stockton,59,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/John-Stockton2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Nada Stepovich),"Gonzaga University, Gonzaga Preparatory School ",$45 Million,Graduate
Jamal Mashburn,48,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/Jamal-Mashburn2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Michelle Mashburn),"University of Kentucky, Cardinal Hayes High School",$45 Million,Graduate
Shawn Kemp,51,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/Shawn-Kemp1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Marvena L. Thomas),"Concord High School, Trinity Valley Community College, University of Kentucky",$45 Million,Graduate
Larry Bird,64,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/Larry-Bird3.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Divorced (Dinah Mattingly),"Indiana State University, Springs Valley High School",$45 Million,Graduate
Stephon Marbury,44,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/Stephon-Marbury-2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Latasha Marbury),"Georgia Institute of Technology, Abraham Lincoln High School ",$45 Million,high school
Chauncey Billups,44,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/Chauncey-Billups.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Piper Billups),University of Colorado,$45 Million,Graduate
Andrew Bynum,33,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Andrew-Bynum2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,,St. Joseph High School,$45 Million,high school
Andris Biedrins,33,N/A,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2015/09/Andris-Biedrins.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Madaru Grīnbergu),,$45 Million,
Danny Grainger,36,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2015/06/Danny-Granger.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Dionna Kann),University of New Mexico,$45 Million,Graduate
Michael Redd,41,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/2019/02/Michael-Redd.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Achea Redd),Ohio State University,$45 Million,Graduate
Jason Richardson,40,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/2013/12/Jason_Richardson.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Jackie Paul),Michigan State University,$45 Million,Graduate
Peja Stojakovic,43,N/A,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/2013/12/Peja_Stojakovic_Mavs.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Aleka Kamila),,$45 Million,
